s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,polyship_human_flag,member,members_found,combined_text,ner_persons,title_masked,summary_masked,combined_text_masked,modela_text_raw,modelb_text_masked,summary_masked_length,title_masked_length,combined_text_masked_length
https://golemlab.eu/graph/33725944,33,unfiltered,"Hetero-normative bullshit, unprotected sex, and… Pining?",2021-09-06,6371,Explicit,F/M,Completed,Camping | Mutual Pining | Pining | Rain Sex,Park Jimin (BTS)/Reader,False,jimin,{'jimin'},"Title: unfiltered [SEP] Summary: Hetero-normative bullshit, unprotected sex, and… Pining?",set(),unfiltered,"hetero-normative bullshit, unprotected sex, and… pining?","Title: unfiltered [SEP] Summary: hetero-normative bullshit, unprotected sex, and… pining?","unfiltered Hetero-normative bullshit, unprotected sex, and… Pining?","unfiltered hetero-normative bullshit, unprotected sex, and… pining?",7,1,11
https://golemlab.eu/graph/25795612,33,Dangerous Distractions,"You think it’s your lucky day when you catch one of the top members of Bangtan, but little do you know Jimin has a surprise for you of his own.",2020-08-09,1708,Teen And Up Audiences,F/M,Completed,Crack | Fluff | Gangster!jimin | Jimin gets kicked where the sun don’t shine | Kissing | Language | Some Action | beware its orange!Jimin | detective!reader | reader is a bit of a tsundere in this one,Park Jimin (BTS)/Reader,False,jimin,{'jimin'},"Title: Dangerous Distractions [SEP] Summary: You think it’s your lucky day when you catch one of the top members of Bangtan, but little do you know Jimin has a surprise for you of his own.",{'Jimin'},dangerous distractions,"you think it’s your lucky day when you catch one of the top members of bangtan, but little do you know [MEMBER] has a surprise for you of his own.","Title: dangerous distractions [SEP] Summary: you think it’s your lucky day when you catch one of the top members of bangtan, but little do you know [MEMBER] has a surprise for you of his own.","Dangerous Distractions You think it’s your lucky day when you catch one of the top members of Bangtan, but little do you know Jimin has a surprise for you of his own.","dangerous distractions you think it’s your lucky day when you catch one of the top members of bangtan, but little do you know [MEMBER] has a surprise for you of his own.",31,2,36
https://golemlab.eu/graph/12061428,33,Serendipity,"Yes, this is inspired by BTS's comeback trailer, Serendipity. Did it slay anyone else or just me?? JIMIN DID THAT. HE FREAKING DID THAT, IT'S BEEN A WEEK, AND I AM STILL NOT OKAY!! *cough* anyway...",2017-09-11,1720,General Audiences,F/M,Completed,Alternate Universe | Domestic Fluff | Fluff | Inspired by BTS | Inspired by Music | Inspired by Serendipity | Serendipity - Freeform | bts - Freeform,Park Jimin (BTS)/Reader,False,jimin,{'jimin'},"Title: Serendipity [SEP] Summary: Yes, this is inspired by BTS's comeback trailer, Serendipity. Did it slay anyone else or just me?? JIMIN DID THAT. HE FREAKING DID THAT, IT'S BEEN A WEEK, AND I AM STILL NOT OKAY!! *cough* anyway...",{'JIMIN'},serendipity,"yes, this is inspired by bts's comeback trailer, serendipity. did it slay anyone else or just me?? [MEMBER] did that. he freaking did that, it's been a week, and i am still not okay!! *cough* anyway...","Title: serendipity [SEP] Summary: yes, this is inspired by bts's comeback trailer, serendipity. did it slay anyone else or just me?? [MEMBER] did that. he freaking did that, it's been a week, and i am still not okay!! *cough* anyway...","Serendipity Yes, this is inspired by BTS's comeback trailer, Serendipity. Did it slay anyone else or just me?? JIMIN DID THAT. HE FREAKING DID THAT, IT'S BEEN A WEEK, AND I AM STILL NOT OKAY!! *cough* anyway...","serendipity yes, this is inspired by bts's comeback trailer, serendipity. did it slay anyone else or just me?? [MEMBER] did that. he freaking did that, it's been a week, and i am still not okay!! *cough* anyway...",38,1,42
https://golemlab.eu/graph/39837216,33,The City Lights Are Your Witness,anyone can see but you dont care.,2022-06-23,1259,Mature,F/M,Completed,Exhibitionism | Explicit Language | Fingerfucking | Oral Sex | Shameless Smut | Short One Shot | sex against a window,Park Jimin (BTS)/Reader,False,jimin,{'jimin'},Title: The City Lights Are Your Witness [SEP] Summary: anyone can see but you dont care.,set(),the city lights are your witness,anyone can see but you dont care.,Title: the city lights are your witness [SEP] Summary: anyone can see but you dont care.,The City Lights Are Your Witness anyone can see but you dont care.,the city lights are your witness anyone can see but you dont care.,7,6,16
https://golemlab.eu/graph/18214859,33,Insert Quippy Title Here!!,There is no synopsis. It’s just you…me…and a real good time sweet cheeks.,2019-03-23,8493,Mature,F/M,Completed,Anal Play | Antihero au | Deadpool AU | Masturbation | Oral Sex | Unprotected Sex | Violence | crude language | deadpool jimin | superhero au,Park Jimin (BTS)/Reader,False,jimin,{'jimin'},Title: Insert Quippy Title Here!! [SEP] Summary: There is no synopsis. It’s just you…me…and a real good time sweet cheeks.,set(),insert quippy title here!!,there is no synopsis. it’s just you…me…and a real good time sweet cheeks.,Title: insert quippy title here!! [SEP] Summary: there is no synopsis. it’s just you…me…and a real good time sweet cheeks.,Insert Quippy Title Here!! There is no synopsis. It’s just you…me…and a real good time sweet cheeks.,insert quippy title here!! there is no synopsis. it’s just you…me…and a real good time sweet cheeks.,16,4,23
https://golemlab.eu/graph/16773091,33,No Time Like The Present,"It's almost Christmas, and you get invited to tag along on a trip to a ski resort with Jimin and the others. It's a lot easier to pretend that you don't have a massive crush on him when you're not seeing him everyday, especially when he looks as cute and marshmellowy as he does right now.",2018-11-28,2366,General Audiences,F/M,Completed,Christmas Fluff,Park Jimin (BTS)/Reader,False,jimin,{'jimin'},"Title: No Time Like The Present [SEP] Summary: It's almost Christmas, and you get invited to tag along on a trip to a ski resort with Jimin and the others. It's a lot easier to pretend that you don't have a massive crush on him when you're not seeing him everyday, especially when he looks as cute and marshmellowy as he does right now.","{'marshmellowy', 'Jimin'}",no time like the present,"it's almost christmas, and you get invited to tag along on a trip to a ski resort with [MEMBER] and the others. it's a lot easier to pretend that you don't have a massive crush on him when you're not seeing him everyday, especially when he looks as cute and marshmellowy as he does right now.","Title: no time like the present [SEP] Summary: it's almost christmas, and you get invited to tag along on a trip to a ski resort with [MEMBER] and the others. it's a lot easier to pretend that you don't have a massive crush on him when you're not seeing him everyday, especially when he looks as cute and marshmellowy as he does right now.","No Time Like The Present It's almost Christmas, and you get invited to tag along on a trip to a ski resort with Jimin and the others. It's a lot easier to pretend that you don't have a massive crush on him when you're not seeing him everyday, especially when he looks as cute and marshmellowy as he does right now.","no time like the present it's almost christmas, and you get invited to tag along on a trip to a ski resort with [MEMBER] and the others. it's a lot easier to pretend that you don't have a massive crush on him when you're not seeing him everyday, especially when he looks as cute and marshmellowy as he does right now.",60,5,68
https://golemlab.eu/graph/4751081,33,Golden Pools,Jimin has one hour to get your birthday surprise ready.,2015-09-07,823,General Audiences,F/M,Completed,Romance | Romantic Fluff,Park Jimin (BTS)/Reader Series: Gifts for Lovelies [5],False,jimin,{'jimin'},Title: Golden Pools [SEP] Summary: Jimin has one hour to get your birthday surprise ready.,{'Jimin'},golden pools,[MEMBER] has one hour to get your birthday surprise ready.,Title: golden pools [SEP] Summary: [MEMBER] has one hour to get your birthday surprise ready.,Golden Pools Jimin has one hour to get your birthday surprise ready.,golden pools [MEMBER] has one hour to get your birthday surprise ready.,10,2,15
https://golemlab.eu/graph/18461993,33,Wicked Game,"Being a member of Sweetheart - a club that helps fullfilling your kinkiest sex fantasies - leads to you meeting Park Jimin. Although he isn’t what you search for, you give in and discover new sides of yourself.",2019-04-14,11719,Mature,F/M,Completed,AU | Degrading Talk | Dirty Talk | Dom/sub Undertones | Explicit Sexual Content | Fluff | Hair Pulling | Oral Sex | Orgasm Denial | Praise Kink | Smut | Sub!jimin | Teasing | alcohol drinking | handjob | intercourse | safe words | switch!Reader,Park Jimin (BTS)/Reader Series: The Games Series [1],False,jimin,{'jimin'},"Title: Wicked Game [SEP] Summary: Being a member of Sweetheart - a club that helps fullfilling your kinkiest sex fantasies - leads to you meeting Park Jimin. Although he isn’t what you search for, you give in and discover new sides of yourself.",{'Park Jimin'},wicked game,"being a member of sweetheart - a club that helps fullfilling your kinkiest sex fantasies - leads to you meeting [MEMBER]. although he isn’t what you search for, you give in and discover new sides of yourself.","Title: wicked game [SEP] Summary: being a member of sweetheart - a club that helps fullfilling your kinkiest sex fantasies - leads to you meeting [MEMBER]. although he isn’t what you search for, you give in and discover new sides of yourself.","Wicked Game Being a member of Sweetheart - a club that helps fullfilling your kinkiest sex fantasies - leads to you meeting Park Jimin. Although he isn’t what you search for, you give in and discover new sides of yourself.","wicked game being a member of sweetheart - a club that helps fullfilling your kinkiest sex fantasies - leads to you meeting [MEMBER]. although he isn’t what you search for, you give in and discover new sides of yourself.",36,2,41
https://golemlab.eu/graph/16881354,33,reset,"Summary: We are made of the pieces of what we remember, and we hold in ourselves the hopes and fears of those who love us. As long as there are memories to call our own, there can be no true loss. But Park Jimin has no such privilege.",2018-12-06,10215,Mature,F/M,Completed,Memory Loss,Park Jimin (BTS)/Reader,False,jimin,{'jimin'},"Title: reset [SEP] Summary: Summary: We are made of the pieces of what we remember, and we hold in ourselves the hopes and fears of those who love us. As long as there are memories to call our own, there can be no true loss. But Park Jimin has no such privilege.",{'Park Jimin'},reset,"summary: we are made of the pieces of what we remember, and we hold in ourselves the hopes and fears of those who love us. as long as there are memories to call our own, there can be no true loss. but [MEMBER] has no such privilege.","Title: reset [SEP] Summary: summary: we are made of the pieces of what we remember, and we hold in ourselves the hopes and fears of those who love us. as long as there are memories to call our own, there can be no true loss. but [MEMBER] has no such privilege.","reset Summary: We are made of the pieces of what we remember, and we hold in ourselves the hopes and fears of those who love us. As long as there are memories to call our own, there can be no true loss. But Park Jimin has no such privilege.","reset summary: we are made of the pieces of what we remember, and we hold in ourselves the hopes and fears of those who love us. as long as there are memories to call our own, there can be no true loss. but [MEMBER] has no such privilege.",47,1,51
https://golemlab.eu/graph/18498166,33,KISS MY HAND,"""I SAID WILL YOU KISS MY HAND YOU HANDSOME MAN!!!"" ""..... E-Excuse me?""",2019-05-06,2420,Teen And Up Audiences,F/M,Completed,Alcohol | Clubbing | Crack | Fluff | Romance,Park Jimin (BTS)/Reader Series: ddaeng. [5],False,jimin,{'jimin'},"Title: KISS MY HAND [SEP] Summary: ""I SAID WILL YOU KISS MY HAND YOU HANDSOME MAN!!!"" ""..... E-Excuse me?""",set(),kiss my hand,"""i said will you kiss my hand you handsome man!!!"" ""..... e-excuse me?""","Title: kiss my hand [SEP] Summary: ""i said will you kiss my hand you handsome man!!!"" ""..... e-excuse me?""","KISS MY HAND ""I SAID WILL YOU KISS MY HAND YOU HANDSOME MAN!!!"" ""..... E-Excuse me?""","kiss my hand ""i said will you kiss my hand you handsome man!!!"" ""..... e-excuse me?""",13,3,19
https://golemlab.eu/graph/17721119,33,Truth or Dare,in which you're forced to eat leftover sushi off of jimin's abs lol.,2019-02-10,3463,Teen And Up Audiences,F/M,Completed,Cute | Drunkenness | Fluff | Fluff and Angst | Love Confessions | Oneshot | cmon u know u wanna read it | hes so precious | jimin is secretly in love with his best friend,Park Jimin (BTS)/Reader,False,jimin,{'jimin'},Title: Truth or Dare [SEP] Summary: in which you're forced to eat leftover sushi off of jimin's abs lol.,{'jimin'},truth or dare,in which you're forced to eat leftover sushi off of [MEMBER]'s abs lol.,Title: truth or dare [SEP] Summary: in which you're forced to eat leftover sushi off of [MEMBER]'s abs lol.,Truth or Dare in which you're forced to eat leftover sushi off of jimin's abs lol.,truth or dare in which you're forced to eat leftover sushi off of [MEMBER]'s abs lol.,15,3,21
